dataset_id,dataset,feature_resolution,feature_type,mapper,run_id,row_type,patch_id,status,sfm_status,patch_size,gaussian_limit,max_width,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,sfm_warning,updated_at,source_uri
D1,dataset1,1024,aliked,global,sfm_dataset1_sfm_1024_aliked_global_fullres_eval,patch,p000,COMPLETE,complete,400,1000000,,0.6279850721359252,20.661226905259728,0.6453211098909378,python_full_resolution_undistorted,full_resolution_undistorted,5376,4708,3688.965,1000000,13064,7663,,,2026-07-08T01:32:20.999319+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,global,sfm_dataset1_sfm_1024_aliked_global_fullres_eval,patch,p001,COMPLETE,complete,400,1000000,,0.6553519643843174,21.182794973263064,0.6225453674793243,python_full_resolution_undistorted,full_resolution_undistorted,5376,4708,3510.226,1000000,14045,13859,,,2026-07-08T03:04:31.216872+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,global,sfm_dataset1_sfm_1024_aliked_global_fullres_eval,patch,p002,COMPLETE,complete,400,1000000,,0.6605948978348782,21.627019828001334,0.6296023600979855,python_full_resolution_undistorted,full_resolution_undistorted,5378,4700,3704.735,1000000,14040,14353,,,2026-07-08T04:36:33.844093+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,global,sfm_dataset1_sfm_1024_aliked_global_fullres_eval,patch,p003,COMPLETE,complete,400,1000000,,0.6429838565262881,21.17756612685004,0.5851503177122637,python_full_resolution_undistorted,full_resolution_undistorted,5376,4708,3039.749,1000000,11875,13765,,,2026-07-08T05:45:03.079007+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,incremental,sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval,patch,p000,FAIL,complete_with_warnings,,,,,,,,,,,,,,,SfM status complete_with_warnings; downstream evaluation was not scheduled,multiple_sparse_models:16,2026-07-08T03:44:16.736533+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,incremental,sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval,patch,p001,FAIL,complete_with_warnings,,,,,,,,,,,,,,,SfM status complete_with_warnings; downstream evaluation was not scheduled,multiple_sparse_models:16,2026-07-08T03:44:16.736533+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,incremental,sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval,patch,p002,FAIL,complete_with_warnings,,,,,,,,,,,,,,,SfM status complete_with_warnings; downstream evaluation was not scheduled,multiple_sparse_models:16,2026-07-08T03:44:16.736533+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,aliked,incremental,sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval,patch,p003,FAIL,complete_with_warnings,,,,,,,,,,,,,,,SfM status complete_with_warnings; downstream evaluation was not scheduled,multiple_sparse_models:16,2026-07-08T03:44:16.736533+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_aliked_incremental_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,sfm_dataset1_sfm_1024_sift_global_fullres_eval,patch,p000,COMPLETE,complete,400,1000000,,0.7185648053120344,23.50594066054301,0.5541902543642582,python_full_resolution_undistorted,full_resolution_undistorted,5351,4695,3974.749,1000000,16643,9659,,,2026-07-08T12:14:17.279474+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_global_fullres_eval/ablation_eval/results_splat.csv
D1,dataset1,1024,sift,global,sfm_dataset1_sfm_1024_sift_global_fullres_eval,patch,p004,COMPLETE,complete,400,1000000,,0.7495129352960831,24.093777554561655,0.5316621638261355,python_full_resolution_undistorted,full_resolution_undistorted,5351,4695,4116.7,1000000,16751,16051,,,2026-07-08T13:45:53.182954+00:00,s3://3dreefs-ben-eu-north1/experiments/ablations/stage1_fullres_eval/runs/sfm_dataset1_sfm_1024_sift_global_fullres_eval/ablation_eval/results_splat.csv
