metric,feature_resolution,feature_type,mapper,macro_mean,successful_datasets,attempted_datasets
lpips,1024,sift,global,0.6357675085448958,5,5
lpips,1024,sift,incremental,0.6564648373052999,1,5
lpips,1024,aliked,global,0.6996288567324281,5,5
lpips,1024,aliked,incremental,,0,5
lpips,2048,sift,global,0.6383377918464808,5,5
lpips,2048,sift,incremental,0.6506390043941315,1,5
lpips,2048,aliked,global,0.6804991706403003,5,5
lpips,2048,aliked,incremental,,0,5
lpips,full,sift,global,0.6537445312431169,5,5
lpips,full,sift,incremental,0.6524655819957359,1,5
lpips,full,aliked,global,0.6944886751192149,5,5
lpips,full,aliked,incremental,,0,5
ssim,1024,sift,global,0.6378645286428768,5,5
ssim,1024,sift,incremental,0.7289004752580527,1,5
ssim,1024,aliked,global,0.6132229464063299,5,5
ssim,1024,aliked,incremental,,0,5
ssim,2048,sift,global,0.6367226544269325,5,5
ssim,2048,sift,incremental,0.7351659699665087,1,5
ssim,2048,aliked,global,0.6159068837945226,5,5
ssim,2048,aliked,incremental,,0,5
ssim,full,sift,global,0.6112424512803654,5,5
ssim,full,sift,incremental,0.7332783483701351,1,5
ssim,full,aliked,global,0.6130951435289976,5,5
ssim,full,aliked,incremental,,0,5
psnr,1024,sift,global,21.71284266627371,5,5
psnr,1024,sift,incremental,25.572428071185985,1,5
psnr,1024,aliked,global,20.495292942602838,5,5
psnr,1024,aliked,incremental,,0,5
psnr,2048,sift,global,21.734062449585384,5,5
psnr,2048,sift,incremental,25.491242832572098,1,5
psnr,2048,aliked,global,20.523820995204908,5,5
psnr,2048,aliked,incremental,,0,5
psnr,full,sift,global,20.91343199941183,5,5
psnr,full,sift,incremental,25.570119339345464,1,5
psnr,full,aliked,global,20.58394641293949,5,5
psnr,full,aliked,incremental,,0,5
