feature_resolution,feature_type,mapper,macro_mean_psnr,successful_datasets,attempted_datasets
1024,sift,global,21.71284266627371,5,5
1024,sift,incremental,25.572428071185985,1,5
1024,aliked,global,20.495292942602838,5,5
1024,aliked,incremental,,0,5
2048,sift,global,21.734062449585384,5,5
2048,sift,incremental,25.491242832572098,1,5
2048,aliked,global,20.523820995204908,5,5
2048,aliked,incremental,,0,5
full,sift,global,20.91343199941183,5,5
full,sift,incremental,25.570119339345464,1,5
full,aliked,global,20.58394641293949,5,5
full,aliked,incremental,,0,5
