feature_resolution,feature_type,mapper,macro_mean_ssim,successful_datasets,attempted_datasets
1024,sift,global,0.6378645286428768,5,5
1024,sift,incremental,0.7289004752580527,1,5
1024,aliked,global,0.6132229464063299,5,5
1024,aliked,incremental,,0,5
2048,sift,global,0.6367226544269325,5,5
2048,sift,incremental,0.7351659699665087,1,5
2048,aliked,global,0.6159068837945226,5,5
2048,aliked,incremental,,0,5
full,sift,global,0.6112424512803654,5,5
full,sift,incremental,0.7332783483701351,1,5
full,aliked,global,0.6130951435289976,5,5
full,aliked,incremental,,0,5
