stage,dataset_id,dataset,outer_run_id,source_uri,remote_prefix,row_count,complete_rows,failed_rows,training_runtime_seconds,peak_ram_mib,peak_vram_mib,first_updated_at,last_updated_at,evidence_archive,evidence_path
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/,30,30,0,12843.814,8928,14477,2026-07-12T04:32:38.473445+00:00,2026-07-12T10:37:29.100728+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res1024_patch200_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res1024_patch400_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch400_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch400_stage2/,30,30,0,14343.604,9835,12043,2026-07-12T05:00:22.497851+00:00,2026-07-12T13:03:42.450506+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res1024_patch400_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res1024_patch800_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch800_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res1024_patch800_stage2/,30,30,0,19602.925,10833,14557,2026-07-12T05:43:48.679058+00:00,2026-07-12T18:52:41.641476+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res1024_patch800_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res2048_patch200_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch200_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch200_stage2/,30,30,0,24291.114,9552,14363,2026-07-12T05:40:26.626733+00:00,2026-07-12T14:45:01.797839+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res2048_patch200_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res2048_patch400_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch400_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch400_stage2/,30,30,0,25614.693,10951,15091,2026-07-12T05:42:20.401697+00:00,2026-07-12T16:45:33.295519+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res2048_patch400_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_res2048_patch800_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch800_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_res2048_patch800_stage2/,30,30,0,30784.248,12954,15513,2026-07-12T05:53:35.984415+00:00,2026-07-12T21:51:53.172770+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_res2048_patch800_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_resfull_patch200_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch200_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch200_stage2/,30,30,0,98507.443,11311,14931,2026-07-12T07:15:37.761140+00:00,2026-07-13T12:20:30.842847+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_resfull_patch200_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_resfull_patch400_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch400_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch400_stage2/,30,30,0,99569.284,14768,15329,2026-07-12T07:37:46.596219+00:00,2026-07-13T14:49:01.621635+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_resfull_patch400_stage2/
stage2,D1,dataset1,splat_dataset1_sfm_1024_sift_global_resfull_patch800_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch800_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset1_sfm_1024_sift_global_resfull_patch800_stage2/,30,30,0,106954.317,15621,17257,2026-07-12T08:11:57.917663+00:00,2026-07-13T20:34:55.854393+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset1_sfm_1024_sift_global_resfull_patch800_stage2/
stage2,D2,dataset2,splat_dataset2_sfm_1024_sift_global_res1024_patch200_stage2,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset2_sfm_1024_sift_global_res1024_patch200_stage2/ablation_eval/results_splat.csv,s3://3dreefs-ben-eu-north1/experiments/ablations/stage2_resolution_fullres_eval/runs/splat_dataset2_sfm_1024_sift_global_res1024_patch200_stage2/,30,30,0,12303.766,9348,12661,2026-07-11T22:54:54.935941+00:00,2026-07-12T04:32:06.749246+00:00,stage-2-metadata-20260724.tar.zst,runs/splat_dataset2_sfm_1024_sift_global_res1024_patch200_stage2/
