job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p000,dataset2,sfm_1024_sift_global,p000,400,1000000,,2048,complete,0.7658475809975674,24.52549457884987,0.5545457201568704,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,849.371,248001532,,1000000,8500,8841,completed_requested_iterations,2026-07-11T23:04:24.051092+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p002,dataset2,sfm_1024_sift_global,p002,400,1000000,,2048,complete,0.7456272997354206,23.906594573089347,0.5841734644613767,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,753.827,248001532,,1000000,8968,13483,completed_requested_iterations,2026-07-11T23:23:49.845426+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p005,dataset2,sfm_1024_sift_global,p005,400,1000000,,2048,complete,0.7093315213918686,23.187319420033,0.588708408176899,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,785.858,248001532,,1000000,9067,13425,completed_requested_iterations,2026-07-11T23:44:44.985914+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p007,dataset2,sfm_1024_sift_global,p007,400,1000000,,2048,complete,0.7235994591162755,24.67704974239083,0.5798059067665002,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,746.486,248001532,,1000000,9043,13395,completed_requested_iterations,2026-07-12T00:04:29.596758+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p009,dataset2,sfm_1024_sift_global,p009,400,1000000,,2048,complete,0.6610501534060428,22.44064450059681,0.6047430948207253,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,764.191,248001532,,1000000,9229,13425,completed_requested_iterations,2026-07-12T00:24:28.760537+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p012,dataset2,sfm_1024_sift_global,p012,400,1000000,,2048,complete,0.656411315386112,22.43701140152882,0.6058886433259035,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,759.304,248001532,,1000000,9201,13489,completed_requested_iterations,2026-07-12T00:44:30.120455+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p014,dataset2,sfm_1024_sift_global,p014,400,1000000,,2048,complete,0.5460329812306625,19.41847931631277,0.6508290507854559,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,762.773,248001532,,1000000,9515,13363,completed_requested_iterations,2026-07-12T01:04:33.405248+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p016,dataset2,sfm_1024_sift_global,p016,400,1000000,,2048,complete,0.5391101225828513,19.36678978985561,0.6119427604553027,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,705.999,248001532,,1000000,9539,13367,completed_requested_iterations,2026-07-12T01:23:27.031423+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p019,dataset2,sfm_1024_sift_global,p019,400,1000000,,2048,complete,0.5224974950154623,18.59350536718494,0.6353924557184562,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,736.916,248001532,,1000000,9836,13393,completed_requested_iterations,2026-07-12T01:43:00.800203+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_1m_p021,dataset2,sfm_1024_sift_global,p021,400,1000000,,2048,complete,0.5505847286533665,19.360153372468325,0.6037724775237006,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,698.066,248001532,,1000000,9593,13387,completed_requested_iterations,2026-07-12T02:01:28.967014+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p000,dataset2,sfm_1024_sift_global,p000,400,2000000,,2048,complete,0.7755274160912162,24.679742218219324,0.505288521710195,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,944.205,496001532,,2000000,8414,7309,completed_requested_iterations,2026-07-12T02:39:15.256671+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p002,dataset2,sfm_1024_sift_global,p002,400,2000000,,2048,complete,0.7561820933693334,24.062260265919573,0.5307877165706534,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,941.657,496001532,,2000000,9000,12485,completed_requested_iterations,2026-07-12T03:01:56.828454+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p005,dataset2,sfm_1024_sift_global,p005,400,2000000,,2048,complete,0.7220420524477958,23.28842961595147,0.5310052707791328,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,960.607,496001532,,2000000,9098,12393,completed_requested_iterations,2026-07-12T03:25:14.158598+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p007,dataset2,sfm_1024_sift_global,p007,400,2000000,,2048,complete,0.7395059405229031,24.984435482717192,0.521126912190364,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,883.437,496001532,,2000000,9078,12403,completed_requested_iterations,2026-07-12T03:47:05.099440+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p009,dataset2,sfm_1024_sift_global,p009,400,2000000,,2048,complete,0.6741908302432612,22.68786595770982,0.550565770582149,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,948.139,496001532,,2000000,10169,12457,completed_requested_iterations,2026-07-12T04:09:30.645327+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p012,dataset2,sfm_1024_sift_global,p012,400,2000000,,2048,complete,0.6737124079313034,22.7732821580444,0.5494234554278545,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,946.346,496001532,,2000000,9242,12489,completed_requested_iterations,2026-07-12T04:32:41.026355+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p014,dataset2,sfm_1024_sift_global,p014,400,2000000,,2048,complete,0.564859342116576,19.715316610248525,0.5898534418680729,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,960.499,496001532,,2000000,9636,12431,completed_requested_iterations,2026-07-12T04:56:08.070054+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p016,dataset2,sfm_1024_sift_global,p016,400,2000000,,2048,complete,0.5628314232214903,19.727929072674062,0.5468880083316412,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,900.029,496001532,,2000000,9687,12437,completed_requested_iterations,2026-07-12T05:18:48.426710+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p019,dataset2,sfm_1024_sift_global,p019,400,2000000,,2048,complete,0.5410444973370968,18.82119235017789,0.5801713611835089,python_full_resolution_undistorted,full_resolution_undistorted,5365,4713,906.476,496001532,,2000000,9724,12397,completed_requested_iterations,2026-07-12T05:41:44.255905+00:00
splat_eval_splat_dataset2_sfm_1024_sift_global_res2048_patch400_2m_p021,dataset2,sfm_1024_sift_global,p021,400,2000000,,2048,complete,0.5699329746736063,19.612327932218687,0.5479884510104721,python_full_resolution_undistorted,full_resolution_undistorted,5384,4712,915.781,496001532,,2000000,9605,12425,completed_requested_iterations,2026-07-12T06:04:18.839356+00:00
