job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p000,dataset3,sfm_1024_sift_global,p000,200,500000,,full,complete,0.7577924269896287,24.50376016408559,0.6190295219421387,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2341.545,124001531,,500000,7650,5397,completed_requested_iterations,2026-07-11T23:29:00.267711+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p002,dataset3,sfm_1024_sift_global,p002,200,500000,,full,complete,0.7187829911708832,25.263795195062414,0.6681173195441564,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2309.938,124001531,,500000,7748,9917,completed_requested_iterations,2026-07-12T00:09:09.654216+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p005,dataset3,sfm_1024_sift_global,p005,200,500000,,full,complete,0.747333861887455,25.036334561463846,0.6387256234884262,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2372.387,124001531,,500000,8261,10003,completed_requested_iterations,2026-07-12T00:50:48.167580+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p007,dataset3,sfm_1024_sift_global,p007,200,500000,,full,complete,0.7439392954111099,27.46408604019371,0.594968892633915,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2380.771,124001531,,500000,7020,9733,completed_requested_iterations,2026-07-12T01:31:34.100509+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p010,dataset3,sfm_1024_sift_global,p010,200,500000,,full,complete,0.7383153097970145,26.918665026977312,0.6232563257217407,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2336.365,124001531,,500000,6948,9891,completed_requested_iterations,2026-07-12T02:11:26.651623+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p012,dataset3,sfm_1024_sift_global,p012,200,500000,,full,complete,0.6294523874918619,23.448025110981547,0.6860615809758505,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2121.976,124001531,,500000,5960,9063,completed_requested_iterations,2026-07-12T02:47:11.879632+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p015,dataset3,sfm_1024_sift_global,p015,200,500000,,full,complete,0.6920564413070679,29.5217522014035,0.6709246277809143,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2294.445,124001531,,500000,6648,9815,completed_requested_iterations,2026-07-12T03:26:05.792305+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p017,dataset3,sfm_1024_sift_global,p017,200,500000,,full,complete,0.7080837488174438,25.6114528156286,0.6940121650695801,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2123.478,124001531,,500000,6705,9497,completed_requested_iterations,2026-07-12T04:02:16.350667+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p020,dataset3,sfm_1024_sift_global,p020,200,500000,,full,complete,0.7637310359213088,26.900571239757813,0.5828919344478183,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2344.6,124001531,,500000,7288,9969,completed_requested_iterations,2026-07-12T04:42:37.036881+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_500k_p023,dataset3,sfm_1024_sift_global,p023,200,500000,,full,complete,0.6990558703740438,28.218421144371224,0.6929352283477783,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2124.593,124001531,,500000,6671,9787,completed_requested_iterations,2026-07-12T05:18:49.812673+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p000,dataset3,sfm_1024_sift_global,p000,200,1000000,,full,complete,0.7637451199384836,24.43963945632207,0.5861553458067087,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2556.702,248001532,,1000000,7558,5397,completed_requested_iterations,2026-07-12T06:09:28.862790+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p002,dataset3,sfm_1024_sift_global,p002,200,1000000,,full,complete,0.7238206764062246,25.347337103518104,0.6425604273875555,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2560.759,248001532,,1000000,7774,10051,completed_requested_iterations,2026-07-12T06:53:49.001119+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p005,dataset3,sfm_1024_sift_global,p005,200,1000000,,full,complete,0.7520292438566685,24.608364811735157,0.6126067452132702,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2635.371,248001532,,1000000,8660,10109,completed_requested_iterations,2026-07-12T07:39:47.888700+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p007,dataset3,sfm_1024_sift_global,p007,200,1000000,,full,complete,0.7574133351445198,27.502328972122164,0.5516632907092571,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2687.411,248001532,,1000000,7527,10221,completed_requested_iterations,2026-07-12T08:25:36.161484+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p010,dataset3,sfm_1024_sift_global,p010,200,1000000,,full,complete,0.7407474432672773,26.862149419625222,0.6037070069994245,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2601.364,248001532,,1000000,7449,10251,completed_requested_iterations,2026-07-12T09:09:51.928494+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p012,dataset3,sfm_1024_sift_global,p012,200,1000000,,full,complete,0.6219709515571594,22.972850952594882,0.6514265537261963,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2288.642,248001532,,1000000,6389,9327,completed_requested_iterations,2026-07-12T09:48:22.510057+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p015,dataset3,sfm_1024_sift_global,p015,200,1000000,,full,complete,0.6961645722389221,29.49937626970786,0.6400536060333252,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2548.617,248001532,,1000000,7121,10109,completed_requested_iterations,2026-07-12T10:31:27.687085+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p017,dataset3,sfm_1024_sift_global,p017,200,1000000,,full,complete,0.7055546542008718,25.505543896135578,0.6775098840395609,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2408.541,248001532,,1000000,7121,9761,completed_requested_iterations,2026-07-12T11:12:22.325208+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p020,dataset3,sfm_1024_sift_global,p020,200,1000000,,full,complete,0.7726820839775933,27.16593602913794,0.5404453244474199,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2563.36,248001532,,1000000,7762,9977,completed_requested_iterations,2026-07-12T11:56:19.006937+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_1m_p023,dataset3,sfm_1024_sift_global,p023,200,1000000,,full,complete,0.6997786263624827,28.198198293528836,0.678001602490743,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2407.604,248001532,,1000000,7164,10083,completed_requested_iterations,2026-07-12T12:37:09.623307+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p000,dataset3,sfm_1024_sift_global,p000,200,2000000,,full,complete,0.7664104745938227,24.224950320507972,0.560708456314527,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2981.202,496001532,,2000000,7666,6495,completed_requested_iterations,2026-07-12T13:34:52.803110+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p002,dataset3,sfm_1024_sift_global,p002,200,2000000,,full,complete,0.725826750199,25.171787513046084,0.6174598882595698,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2978.228,496001532,,2000000,7807,11003,completed_requested_iterations,2026-07-12T14:26:05.746567+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p005,dataset3,sfm_1024_sift_global,p005,200,2000000,,full,complete,0.7540317177772522,24.295449484355053,0.5915075875818729,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,3262.635,496001532,,2000000,10262,15019,completed_requested_iterations,2026-07-12T15:22:40.999438+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p007,dataset3,sfm_1024_sift_global,p007,200,2000000,,full,complete,0.7653501257300377,27.557971020495298,0.5129818394780159,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,3035.681,496001532,,2000000,9060,10775,completed_requested_iterations,2026-07-12T16:14:24.055878+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p010,dataset3,sfm_1024_sift_global,p010,200,2000000,,full,complete,0.7388339383261544,26.647372267374887,0.5784921050071716,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2940.25,496001532,,2000000,7040,10545,completed_requested_iterations,2026-07-12T17:04:21.789841+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p012,dataset3,sfm_1024_sift_global,p012,200,2000000,,full,complete,0.609707236289978,22.7251192520766,0.6145004133383433,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2598.142,496001532,,2000000,6076,10071,completed_requested_iterations,2026-07-12T17:48:03.521646+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p015,dataset3,sfm_1024_sift_global,p015,200,2000000,,full,complete,0.6945734024047852,29.497038636926014,0.5952142715454102,python_full_resolution_undistorted,full_resolution_undistorted,3485,5227,2877.919,496001532,,2000000,6726,10437,completed_requested_iterations,2026-07-12T18:36:41.385485+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p017,dataset3,sfm_1024_sift_global,p017,200,2000000,,full,complete,0.6985901494820913,25.437672451014837,0.6552722056706747,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2762.737,496001532,,2000000,6760,10189,completed_requested_iterations,2026-07-12T19:23:32.751019+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p020,dataset3,sfm_1024_sift_global,p020,200,2000000,,full,complete,0.7769904534022013,27.06609769416933,0.5004938377274407,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2941.075,496001532,,2000000,7380,10719,completed_requested_iterations,2026-07-12T20:13:54.228271+00:00
splat_eval_splat_dataset3_sfm_1024_sift_global_resfull_patch200_2m_p023,dataset3,sfm_1024_sift_global,p023,200,2000000,,full,complete,0.6999395291010538,28.277154381978615,0.6527239084243774,python_full_resolution_undistorted,full_resolution_undistorted,3483,5221,2762.83,496001532,,2000000,6740,25949,completed_requested_iterations,2026-07-12T21:00:44.094623+00:00
