job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p000,dataset4,sfm_1024_sift_global,p000,200,500000,,1024,complete,0.5453376471996307,17.286063037928923,0.6628415673971176,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,372.057,124001531,,500000,7474,7733,completed_requested_iterations,2026-07-12T01:11:02.361432+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p010,dataset4,sfm_1024_sift_global,p010,200,500000,,1024,complete,0.5344898496803484,16.579196789293757,0.675479321103347,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,337.398,124001531,,500000,8041,11677,completed_requested_iterations,2026-07-12T01:20:15.939180+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p020,dataset4,sfm_1024_sift_global,p020,200,500000,,1024,complete,0.5417045496012035,17.00901890415028,0.6726864639081453,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,321.981,124001531,,500000,8124,11617,completed_requested_iterations,2026-07-12T01:29:01.065126+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p030,dataset4,sfm_1024_sift_global,p030,200,500000,,1024,complete,0.5272164625280044,16.75527247398161,0.6701741288690006,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,313.856,124001531,,500000,7976,11611,completed_requested_iterations,2026-07-12T01:37:23.660749+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p040,dataset4,sfm_1024_sift_global,p040,200,500000,,1024,complete,0.5375448688864708,17.129002099275592,0.6217852458357811,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,309.436,124001531,,500000,8124,11923,completed_requested_iterations,2026-07-12T01:45:32.196049+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p050,dataset4,sfm_1024_sift_global,p050,200,500000,,1024,complete,0.5413425929016538,17.656997613987134,0.6623698870340983,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,318.709,124001531,,500000,8174,11651,completed_requested_iterations,2026-07-12T01:54:06.996807+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p060,dataset4,sfm_1024_sift_global,p060,200,500000,,1024,complete,0.44419733848836684,14.515772579917645,0.7468882037533654,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,322.878,124001531,,500000,8126,11551,completed_requested_iterations,2026-07-12T02:02:51.228263+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p070,dataset4,sfm_1024_sift_global,p070,200,500000,,1024,complete,0.48307596892118454,16.450720731788728,0.6674768567085266,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,319.48,124001531,,500000,8168,11553,completed_requested_iterations,2026-07-12T02:11:50.353505+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p080,dataset4,sfm_1024_sift_global,p080,200,500000,,1024,complete,0.5675952394803365,18.53858106945894,0.5579577386379242,python_full_resolution_undistorted,full_resolution_undistorted,5358,4707,314.079,124001531,,500000,8071,11573,completed_requested_iterations,2026-07-12T02:19:50.521104+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_500k_p090,dataset4,sfm_1024_sift_global,p090,200,500000,,1024,complete,0.4437660750220804,14.363018189919568,0.7680737586582408,python_full_resolution_undistorted,full_resolution_undistorted,5358,4707,292.954,124001531,,500000,8099,11639,completed_requested_iterations,2026-07-12T02:27:50.014824+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p000,dataset4,sfm_1024_sift_global,p000,200,1000000,,1024,complete,0.5394290015101433,17.008214297000237,0.611150649189949,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,385.462,248001532,,1000000,7226,10093,completed_requested_iterations,2026-07-12T02:54:50.700570+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p010,dataset4,sfm_1024_sift_global,p010,200,1000000,,1024,complete,0.525695264339447,16.44379320542396,0.6251195512319866,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,439.383,248001532,,1000000,7848,14315,completed_requested_iterations,2026-07-12T03:05:42.036266+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p020,dataset4,sfm_1024_sift_global,p020,200,1000000,,1024,complete,0.5363363466764751,16.879335292744013,0.618935227394104,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,401.699,248001532,,1000000,7880,14283,completed_requested_iterations,2026-07-12T03:16:01.458816+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p030,dataset4,sfm_1024_sift_global,p030,200,1000000,,1024,complete,0.518597299561781,16.58134255283455,0.6173074315575993,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,406.144,248001532,,1000000,7847,14183,completed_requested_iterations,2026-07-12T03:25:57.343167+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p040,dataset4,sfm_1024_sift_global,p040,200,1000000,,1024,complete,0.5272918716073036,16.7862482268855,0.5658021084964275,python_full_resolution_undistorted,full_resolution_undistorted,5396,4735,374.652,248001532,,1000000,7875,14273,completed_requested_iterations,2026-07-12T03:35:12.041087+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p050,dataset4,sfm_1024_sift_global,p050,200,1000000,,1024,complete,0.5409951044453515,17.571106334851628,0.6039747993151346,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,400.645,248001532,,1000000,7993,14285,completed_requested_iterations,2026-07-12T03:45:20.812181+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p060,dataset4,sfm_1024_sift_global,p060,200,1000000,,1024,complete,0.43502525322967106,14.418750549949001,0.6943657365110185,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,410.615,248001532,,1000000,7905,14253,completed_requested_iterations,2026-07-12T03:55:35.294034+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p070,dataset4,sfm_1024_sift_global,p070,200,1000000,,1024,complete,0.4773650586605072,16.245040626168187,0.6077375948429108,python_full_resolution_undistorted,full_resolution_undistorted,5363,4708,411.247,248001532,,1000000,7999,14189,completed_requested_iterations,2026-07-12T04:06:13.350953+00:00
splat_eval_splat_dataset4_sfm_1024_sift_global_res1024_patch200_1m_p080,dataset4,sfm_1024_sift_global,p080,200,1000000,,1024,complete,0.5553129156430562,17.917589683806053,0.5189071039358775,python_full_resolution_undistorted,full_resolution_undistorted,5358,4707,411.745,248001532,,1000000,7932,14209,completed_requested_iterations,2026-07-12T04:15:52.496615+00:00
