job_id,dataset,variant,patch_id,patch_size,splat_count,max_width,training_resolution,status,ssim,psnr,lpips,metric_source,eval_target_source,eval_image_width,eval_image_height,training_runtime_seconds,output_ply_size_bytes,output_sog_size_bytes,actual_splat_count,peak_ram_mib,peak_vram_mib,failure_reason,updated_at
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p000,dataset6,sfm_1024_sift_global,p000,400,1000000,,full,complete,0.6230760619920843,25.769168289225295,0.5918078159584719,python_full_resolution_undistorted,full_resolution_undistorted,3407,2553,1289.608,248001532,,1000000,6890,3375,completed_requested_iterations,2026-07-14T05:38:24.197668+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p006,dataset6,sfm_1024_sift_global,p006,400,1000000,,full,complete,0.5989864021539688,25.626598529223806,0.4798187975372587,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1326.126,248001532,,1000000,6274,6033,completed_requested_iterations,2026-07-14T06:01:24.159483+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p012,dataset6,sfm_1024_sift_global,p012,400,1000000,,full,complete,0.6136033495267232,23.564038277418174,0.4699225962162018,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1492.404,248001532,,1000000,6394,6187,completed_requested_iterations,2026-07-14T06:27:12.323195+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p017,dataset6,sfm_1024_sift_global,p017,400,1000000,,full,complete,0.5883801281452179,23.355377942168026,0.5257826069226632,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1258.969,248001532,,1000000,7084,6153,completed_requested_iterations,2026-07-14T06:49:45.280599+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p023,dataset6,sfm_1024_sift_global,p023,400,1000000,,full,complete,0.5763310510100741,22.601245390901788,0.6145404170859944,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1440.024,248001532,,1000000,7441,6263,completed_requested_iterations,2026-07-14T07:15:48.852514+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p029,dataset6,sfm_1024_sift_global,p029,400,1000000,,full,complete,0.5985957043511527,23.31061790413398,0.6035631795724233,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1710.196,248001532,,1000000,6712,7101,completed_requested_iterations,2026-07-14T07:45:37.751354+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p035,dataset6,sfm_1024_sift_global,p035,400,1000000,,full,complete,0.6143168792838142,25.10305941386082,0.6131194872515542,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1891.964,248001532,,1000000,6626,8763,completed_requested_iterations,2026-07-14T08:18:26.923007+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p040,dataset6,sfm_1024_sift_global,p040,400,1000000,,full,complete,0.6201644376400979,21.43875658253366,0.5450933133402178,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1233.602,248001532,,1000000,7911,6177,completed_requested_iterations,2026-07-14T08:40:59.460724+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p046,dataset6,sfm_1024_sift_global,p046,400,1000000,,full,complete,0.6915522531459206,27.378306324901693,0.49265160058674057,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1228.41,248001532,,1000000,6514,6085,completed_requested_iterations,2026-07-14T09:02:38.558187+00:00
splat_eval_splat_dataset6_sfm_1024_sift_global_resfull_patch400_1m_p052,dataset6,sfm_1024_sift_global,p052,400,1000000,,full,complete,0.7413355708122253,29.352413870492455,0.5293866930336788,python_full_resolution_undistorted,full_resolution_undistorted,3409,2555,1737.203,248001532,,1000000,6860,6285,completed_requested_iterations,2026-07-14T09:33:17.980348+00:00
